tt/I,layer/I,phimin/D,phimax/D,zmin_cm/D,zmax_cm/D
0,5,-0.379508,1.081940,-119.9180,-43.3692
0,6,-0.255056,0.980022,-119.9680,-71.8298
0,7,-0.093931,0.967848,-119.9500,-106.4560
0,18,-0.432585,1.149290,22.9497,74.4001
0,19,-0.206834,1.217980,23.3733,85.1561
0,20,-0.369448,1.042630,33.0863,102.2630
0,21,-0.129726,1.027350,37.1048,110.0980
0,22,-0.105057,0.977736,45.7734,110.0980
1,5,0.318616,1.780090,-119.9180,-36.4199
1,6,0.467842,1.707100,-119.9680,-71.8298
1,7,0.604172,1.665970,-119.9500,-106.4560
1,18,0.352799,2.003360,22.9491,74.4012
1,19,0.421505,1.777630,23.3733,85.1561
1,20,0.528163,1.850390,33.2135,102.2620
1,21,0.543467,1.700520,37.1048,110.0980
1,22,0.593060,1.675850,45.7734,110.0980
2,5,1.361500,2.822960,-119.9180,-36.4199
2,6,1.434500,2.673750,-119.9680,-71.8298
2,7,1.475620,2.537370,-119.9500,-106.4560
2,18,1.363960,2.720120,22.9635,74.4004
2,19,1.138210,2.788780,23.3737,85.1569
2,20,1.201360,2.613440,33.2135,102.2630
2,21,1.441070,2.666830,37.1049,110.0970
2,22,1.465740,2.548490,45.7734,110.0970
3,5,2.059610,3.521105,-119.9180,-43.3692
3,6,2.161540,3.396645,-119.9680,-71.8298
3,7,2.173740,3.235525,-119.9500,-106.4560
3,18,1.923600,3.662585,22.9492,66.1741
3,19,1.923600,3.574155,23.3737,85.1569
3,20,2.098950,3.511005,33.0865,102.2620
3,21,2.114250,3.271315,37.1046,110.0980
3,22,2.163900,3.421195,45.7734,110.0980
4,5,2.757770,4.219255,-119.9180,-43.3692
4,6,2.884460,4.123725,-119.9680,-71.8298
4,7,3.047660,4.109445,-119.9500,-106.4560
4,18,2.620580,4.359575,22.9490,74.4014
4,19,2.709010,4.290885,23.3733,85.1561
4,20,2.772140,4.184225,32.9804,102.2630
4,21,2.862000,4.168945,37.1048,110.0980
4,22,3.036540,4.119325,45.7734,110.0980
5,5,-2.827270,-1.365820,-119.9180,-43.3692
5,6,-2.671660,-1.436580,-119.9680,-71.8298
5,7,-2.537420,-1.475620,-119.9500,-106.4560
5,18,-2.788790,-1.138230,22.9496,66.1742
5,19,-2.720090,-1.363960,23.3733,85.1561
5,20,-2.613430,-1.425770,33.1656,102.2620
5,21,-2.598130,-1.291210,37.1048,110.0980
5,22,-2.548530,-1.465740,45.7734,110.0980
6,5,-1.775780,-0.314301,-119.9180,-43.3692
6,6,-1.705020,-0.469929,-119.9680,-71.8298
6,7,-1.665970,-0.604227,-119.9500,-106.4560
6,18,-2.003380,-0.352815,22.9504,74.4012
6,19,-1.887140,-0.352815,23.3737,85.1569
6,20,-1.940230,-0.474763,33.0876,102.2630
6,21,-1.700520,-0.543453,37.1049,110.0970
6,22,-1.675850,-0.593105,45.7734,110.0970
7,5,-1.077630,0.383842,-119.9180,-36.4199
7,6,-0.982130,0.257124,-119.9680,-71.8298
7,7,-0.967853,0.093931,-119.9500,-106.4560
7,18,-1.218000,0.432564,22.9501,74.4027
7,19,-1.218000,0.432564,23.3737,85.1569
7,20,-1.042640,0.369418,33.1138,102.2620
7,21,-1.096010,0.310640,37.1046,110.0980
7,22,-0.977692,0.279602,45.7734,110.0980
8,5,-0.373811,1.088590,-62.7936,-6.6231
8,6,-0.255056,0.980022,-83.8783,-19.9094
8,7,-0.093931,0.967848,-109.5320,-40.0171
8,8,-0.065086,0.850475,-117.6610,-49.4095
8,9,-0.054191,0.891952,-117.6610,-58.7095
8,10,-0.080988,0.887691,-117.6610,-68.9081
8,18,-0.078141,0.934939,61.4896,110.0980
8,19,-0.060899,0.898662,64.3712,110.0980
8,20,-0.056104,0.872450,81.5298,110.0980
8,21,-0.045710,0.872450,100.0510,110.0980
9,5,0.324313,1.786720,-62.7936,-6.6231
9,6,0.467842,1.708200,-83.8783,-19.9094
9,7,0.604172,1.665970,-109.5320,-40.0171
9,8,0.720322,1.635880,-117.6610,-49.4095
9,9,0.680785,1.623030,-117.6610,-58.7095
9,10,0.724548,1.693240,-117.6610,-68.9081
9,18,0.635857,1.648940,61.4896,110.0980
9,19,0.672135,1.641880,64.3697,110.0980
9,20,0.698371,1.626900,81.5310,110.0980
9,21,0.698371,1.616510,100.0510,110.0980
10,5,1.354870,2.817260,-62.7936,-6.6231
10,6,1.433390,2.673750,-83.8783,-19.9094
10,7,1.475620,2.537370,-109.5320,-40.0171
10,8,1.505710,2.421270,-117.6610,-49.4095
10,9,1.518560,2.460790,-117.6610,-58.7095
10,10,1.530090,2.417040,-117.6610,-68.9081
10,18,1.492660,2.505740,61.4896,110.0970
10,19,1.509900,2.469470,75.1163,110.0970
10,20,1.514690,2.443250,81.5298,110.0970
10,21,1.525090,2.443250,100.0520,110.0970
11,5,2.052980,3.521105,-62.7936,-6.6231
11,6,2.161540,3.396645,-83.8783,-19.9094
11,7,2.173740,3.235525,-109.5320,-40.0171
11,8,2.291120,3.206675,-117.6610,-49.4095
11,9,2.249630,3.195785,-117.6610,-58.7095
11,10,2.253900,3.222485,-117.6610,-68.9081
11,18,2.206650,3.219735,61.4896,110.0980
11,19,2.242910,3.202495,64.3709,110.0980
11,20,2.269140,3.197695,81.5310,110.0980
11,21,2.269140,3.187305,100.0510,110.0980
12,5,2.751130,4.219255,-62.7936,-6.6231
12,6,2.884460,4.124805,-83.8783,-19.9094
12,7,3.047660,4.109445,-109.5320,-40.0171
12,8,3.076510,3.992065,-117.6610,-49.4095
12,9,3.087400,4.033545,-117.6610,-58.7095
12,10,3.059430,4.028135,-117.6610,-68.9081
12,18,3.063450,4.076535,61.4896,110.0980
12,19,3.080690,4.040255,64.3690,110.0980
12,20,3.085490,4.014045,81.5298,110.0980
12,21,3.095880,4.014045,100.0510,110.0980
13,5,-2.833890,-1.365820,-62.7936,-6.6231
13,6,-2.671660,-1.436580,-83.8783,-19.9094
13,7,-2.537420,-1.475620,-109.5320,-40.0171
13,8,-2.421270,-1.505710,-117.6610,-49.4095
13,9,-2.460810,-1.518560,-117.6610,-58.7095
13,10,-2.418220,-1.449630,-117.6610,-68.9081
13,18,-2.505740,-1.492660,61.4896,110.0980
13,19,-2.469460,-1.499710,64.3714,110.0980
13,20,-2.443220,-1.514690,81.5310,110.0980
13,21,-2.443220,-1.525090,100.0510,110.0980
14,5,-1.775780,-0.307681,-62.7936,-6.6231
14,6,-1.705020,-0.469929,-83.8783,-19.9094
14,7,-1.665970,-0.604227,-109.5320,-40.0171
14,8,-1.635880,-0.720321,-117.6610,-49.4095
14,9,-1.623030,-0.680799,-117.6610,-58.7095
14,10,-1.692060,-0.723370,-117.6610,-68.9081
14,18,-1.648940,-0.635856,61.4896,110.0970
14,19,-1.631700,-0.672118,64.3695,110.0970
14,20,-1.626900,-0.698346,81.5298,110.0970
14,21,-1.616510,-0.698346,100.0520,110.0970
15,5,-1.077630,0.390458,-62.7936,-6.6231
15,6,-0.983216,0.258232,-83.8783,-19.9094
15,7,-0.967853,0.093931,-109.5320,-40.0171
15,8,-0.850475,0.065086,-117.6610,-49.4095
15,9,-0.891967,0.054190,-117.6610,-58.7095
15,10,-0.886540,0.082168,-117.6610,-68.9081
15,18,-0.934940,0.078141,61.4896,110.0980
15,19,-0.898678,0.060899,75.1163,110.0980
15,20,-0.872450,0.056104,81.5310,110.0980
15,21,-0.872450,0.045710,100.0510,110.0980
16,5,-0.369841,1.088590,-29.2841,11.3175
16,6,-0.249523,0.974509,-34.6633,6.8162
16,7,-0.092180,0.968475,-44.0227,2.3472
16,8,-0.065086,0.850475,-59.4595,10.3036
16,9,-0.054191,0.891952,-78.9581,10.3036
16,10,-0.080988,0.887691,-107.3690,20.1920
17,5,0.328281,1.786720,-29.2841,11.3175
17,6,0.466734,1.708200,-34.6633,6.8162
17,7,0.605945,1.666610,-44.0227,2.3472
17,8,0.720322,1.635880,-59.4595,10.3036
17,9,0.680785,1.623030,-78.9581,10.3036
17,10,0.724548,1.611510,-107.3690,20.1920
18,5,1.354870,2.813290,-29.2841,11.3175
18,6,1.433390,2.674860,-34.6633,6.8162
18,7,1.474980,2.535680,-44.0227,6.8840
18,8,1.505710,2.421270,-68.7595,10.3036
18,9,1.518560,2.460790,-78.9581,10.3036
18,10,1.530090,2.417040,-107.3690,20.1920
19,5,2.052980,3.511435,-29.2841,11.3175
19,6,2.167090,3.391125,-34.6633,6.8162
19,7,2.173120,3.233775,-44.0227,2.3472
19,8,2.291120,3.206675,-59.4595,10.3036
19,9,2.249630,3.195785,-78.9581,10.3036
19,10,2.253900,3.222575,-107.3690,20.1920
20,5,2.751130,4.209565,-29.2841,11.3175
20,6,2.883350,4.124805,-34.6633,6.8162
20,7,3.049410,4.110065,-44.0227,2.3472
20,8,3.076510,3.992065,-59.4595,10.3036
20,9,3.087400,4.033545,-78.9581,10.3036
20,10,3.059430,4.028135,-107.3690,20.1920
21,5,-2.833890,-1.375490,-29.2841,11.3175
21,6,-2.666140,-1.442100,-34.6633,6.8162
21,7,-2.535650,-1.474980,-44.0227,2.3472
21,8,-2.421270,-1.505710,-59.4595,10.3036
21,9,-2.460810,-1.518560,-78.9581,10.3036
21,10,-2.418220,-1.449540,-107.3690,20.1920
22,5,-1.766110,-0.307681,-29.2841,11.3175
22,6,-1.699500,-0.475462,-34.6633,6.8162
22,7,-1.666610,-0.605911,-44.0227,6.8840
22,8,-1.635880,-0.720321,-68.7595,10.3036
22,9,-1.623030,-0.680799,-78.9581,10.3036
22,10,-1.692060,-0.723370,-107.3690,20.1920
23,5,-1.067960,0.390458,-29.2841,11.3175
23,6,-0.983216,0.258232,-34.6633,6.8162
23,7,-0.968475,0.092179,-44.0227,2.3472
23,8,-0.850475,0.065086,-59.4595,10.3036
23,9,-0.891967,0.054190,-78.9581,10.3036
23,10,-0.886540,0.082168,-107.3690,20.1920
24,5,-0.369841,1.088590,-11.3175,29.2841
24,6,-0.249524,0.974500,-6.8162,34.6633
24,7,-0.092180,0.968475,-2.3472,44.0227
24,8,-0.065086,0.850475,-9.7333,59.6213
24,9,-0.054191,0.891952,-9.7333,79.0979
24,10,-0.080988,0.887691,-19.7899,108.6910
25,5,0.328281,1.786720,-11.3175,29.2841
25,6,0.466734,1.708200,-6.8162,34.6633
25,7,0.605940,1.666610,-6.8840,44.0227
25,8,0.720322,1.635880,-9.7333,59.6213
25,9,0.680785,1.623030,-9.7333,79.0979
25,10,0.724548,1.611510,-19.7899,108.6910
26,5,1.354870,2.813290,-11.3175,29.2841
26,6,1.433390,2.674860,-6.8162,34.6633
26,7,1.474980,2.535630,-2.3472,44.0227
26,8,1.505710,2.421270,-9.7333,59.6213
26,9,1.518560,2.460790,-9.7333,79.0979
26,10,1.530090,2.417040,-19.7899,108.6910
27,5,2.052980,3.511435,-11.3175,29.2841
27,6,2.167050,3.391125,-6.8162,34.6633
27,7,2.173120,3.233775,-2.3472,44.0227
27,8,2.291120,3.206675,-9.7333,59.6213
27,9,2.249630,3.195785,-9.7333,79.0979
27,10,2.253900,3.222485,-19.7899,108.6910
28,5,2.751130,4.209565,-11.3175,29.2841
28,6,2.883350,4.124805,-6.8162,34.6633
28,7,3.049410,4.110065,-2.3472,44.0227
28,8,3.076510,3.992065,-9.7333,59.6213
28,9,3.087400,4.033545,-9.7333,79.0979
28,10,3.059430,4.028135,-19.7899,108.6910
29,5,-2.833890,-1.375490,-11.3175,29.2841
29,6,-2.666160,-1.442100,-6.8162,34.6633
29,7,-2.535650,-1.474980,-6.8840,44.0227
29,8,-2.421270,-1.505710,-9.7333,59.6213
29,9,-2.460810,-1.518560,-9.7333,79.0979
